Node	Lon	Lat	Depth	Temp	SedRate	TOC	Q	Hmass	Gmass	G1%	G2%
3025	-77.958	30.042	-824.0	5.77	0.2020	0.075	41.613	0.00	0.00	0	0
3026	-77.875	30.042	-825.0	5.66	0.1930	0.073	41.539	0.00	0.00	0	0
3027	-77.792	30.042	-830.0	5.55	0.1820	0.099	41.509	0.00	0.00	0	0
3028	-77.708	30.042	-828.0	5.49	0.1730	0.099	41.479	0.00	0.00	0	0
3029	-77.625	30.042	-835.0	4.30	0.1640	0.100	43.030	0.00	0.00	0	0
3030	-77.542	30.042	-843.0	4.20	0.1560	0.096	40.710	0.00	0.00	0	0
3031	-77.458	30.042	-852.0	3.81	0.1490	0.105	40.737	0.00	0.00	0	0
3032	-77.375	30.042	-869.0	3.61	0.1520	0.108	42.964	0.00	0.00	0	0
3033	-77.292	30.042	-887.0	3.59	0.1600	0.122	42.771	0.00	0.00	0	0
3034	-77.208	30.042	-905.0	3.21	0.1760	0.123	40.998	0.00	0.00	0	0
3035	-77.125	30.042	-938.0	3.22	0.1790	0.139	41.207	0.00	0.00	0	0
3036	-77.042	30.042	-969.5	3.23	0.1740	0.142	41.198	0.00	0.00	0	0
3037	-76.958	30.042	-1051.5	3.29	0.1650	0.140	41.199	0.00	0.00	0	0
3038	-76.875	30.042	-1165.5	2.95	0.1600	0.142	41.202	0.00	0.00	0	0
3039	-76.792	30.042	-1468.0	2.93	0.1560	0.153	43.212	0.00	0.00	0	0
3040	-76.708	30.042	-1554.0	2.60	0.1490	0.157	43.198	0.00	0.00	0	0
3041	-76.625	30.042	-1533.5	2.55	0.1400	0.161	45.155	0.00	0.00	0	0
3042	-76.542	30.042	-1756.5	2.53	0.1280	0.157	45.208	0.00	0.00	0	0
3043	-76.458	30.042	-1970.0	2.41	0.1110	0.156	45.279	0.00	0.00	0	0
3044	-76.375	30.042	-2019.0	2.39	0.0970	0.154	45.323	0.00	0.00	0	0
3045	-76.292	30.042	-2189.0	2.31	0.0830	0.151	47.771	0.00	0.00	0	0
3046	-76.208	30.042	-2388.5	2.31	0.0730	0.150	47.705	0.00	0.00	0	0
3047	-76.125	30.042	-2638.0	2.28	0.0630	0.150	47.648	0.00	0.00	0	0
3048	-76.042	30.042	-5024.0	2.28	0.0560	0.150	47.618	0.00	0.00	0	0
3049	-75.958	30.042	-5048.0	2.28	0.0460	0.391	47.475	0.00	0.00	0	0
3050	-75.875	30.042	-5003.0	2.40	0.0420	0.514	47.337	0.00	0.00	0	0
3051	-75.792	30.042	-4864.0	2.30	0.0400	0.359	47.243	0.00	0.00	0	0
3052	-75.708	30.042	-4775.5	2.30	0.0400	0.360	47.232	0.00	0.00	0	0
3053	-75.625	30.042	-4683.0	2.30	0.0390	0.501	47.295	0.00	0.00	0	0
3054	-75.542	30.042	-4587.0	2.29	0.0400	0.543	47.550	0.00	0.00	0	0
3055	-75.458	30.042	-4481.5	2.29	0.0410	0.577	47.956	0.00	0.00	0	0
3056	-75.375	30.042	-4530.0	2.29	0.0430	0.575	48.080	0.00	0.00	0	0
3057	-75.292	30.042	-4540.5	2.29	0.0450	0.578	48.101	0.00	0.00	0	0
