Node	Lon	Lat	SedRate	TOC	Q	MRate	MAX
3025	-77.958	30.042	0.0000	0.0000	0.0000	0.0000	nan
3026	-77.875	30.042	0.0000	0.0000	0.0000	0.0000	nan
3027	-77.792	30.042	0.0000	0.0000	0.0000	0.0000	nan
3028	-77.708	30.042	0.0000	0.0000	0.0000	0.0000	nan
3029	-77.625	30.042	0.0000	0.0000	0.0000	0.0000	nan
3030	-77.542	30.042	0.0000	0.0000	0.0000	0.0000	nan
3031	-77.458	30.042	0.0000	0.0000	0.0000	0.0000	nan
3032	-77.375	30.042	0.0000	0.0000	0.0000	0.0000	nan
3033	-77.292	30.042	0.0000	0.0000	0.0000	0.0000	nan
3034	-77.208	30.042	0.0000	0.0000	0.0000	0.0000	nan
3035	-77.125	30.042	0.0000	0.0000	0.0000	0.0000	nan
3036	-77.042	30.042	0.0000	0.0000	0.0000	0.0000	nan
3037	-76.958	30.042	0.0000	0.0000	0.0000	0.0000	nan
3038	-76.875	30.042	0.0000	0.0000	0.0000	0.0000	nan
3039	-76.792	30.042	0.0000	0.0000	0.0000	0.0000	nan
3040	-76.708	30.042	0.0000	0.0000	0.0000	0.0000	nan
3041	-76.625	30.042	0.0000	0.0000	0.0000	0.0000	nan
3042	-76.542	30.042	0.0000	0.0000	0.0000	0.0000	nan
3043	-76.458	30.042	0.0000	0.0000	0.0000	0.0000	nan
3044	-76.375	30.042	0.0000	0.0000	0.0000	0.0000	nan
3045	-76.292	30.042	0.0000	0.0000	0.0000	0.0000	nan
3046	-76.208	30.042	0.0000	0.0000	0.0000	0.0000	nan
3047	-76.125	30.042	0.0000	0.0000	0.0000	0.0000	nan
3048	-76.042	30.042	0.0000	0.0000	0.0000	0.0000	nan
3049	-75.958	30.042	0.0000	0.0000	0.0000	0.0000	nan
3050	-75.875	30.042	0.0000	0.0000	0.0000	0.0000	nan
3051	-75.792	30.042	0.0000	0.0000	0.0000	0.0000	nan
3052	-75.708	30.042	0.0000	0.0000	0.0000	0.0000	nan
3053	-75.625	30.042	0.0000	0.0000	0.0000	0.0000	nan
3054	-75.542	30.042	0.0000	0.0000	0.0000	0.0000	nan
3055	-75.458	30.042	0.0000	0.0000	0.0000	0.0000	nan
3056	-75.375	30.042	0.0000	0.0000	0.0000	0.0000	nan
3057	-75.292	30.042	0.0000	0.0000	0.0000	0.0000	nan
3058	-75.208	30.042	0.0000	0.0000	0.0000	0.0000	nan
3059	-75.125	30.042	0.0000	0.0000	0.0000	0.0000	nan
3060	-75.042	30.042	0.0000	0.0000	0.0000	0.0000	nan
3061	-74.958	30.042	0.0000	0.0000	0.0000	0.0000	nan
3062	-74.875	30.042	0.0000	0.0000	0.0000	0.0000	nan
3063	-74.792	30.042	0.0000	0.0000	0.0000	0.0000	nan
3064	-74.708	30.042	0.0000	0.0000	0.0000	0.0000	nan
3065	-74.625	30.042	0.0000	0.0000	0.0000	0.0000	nan
3066	-74.542	30.042	0.0000	0.0000	0.0000	0.0000	nan
3067	-74.458	30.042	0.0000	0.0000	0.0000	0.0000	nan
3068	-74.375	30.042	0.0000	0.0000	0.0000	0.0000	nan
3069	-74.292	30.042	0.0000	0.0000	0.0000	0.0000	nan
3070	-74.208	30.042	0.0000	0.0000	0.0000	0.0000	nan
3071	-74.125	30.042	0.0000	0.0000	0.0000	0.0000	nan
3072	-74.042	30.042	0.0000	0.0000	0.0000	0.0000	nan
3073	-73.958	30.042	0.0000	0.0000	0.0000	0.0000	nan
3074	-73.875	30.042	0.0000	0.0000	0.0000	0.0000	nan
3075	-73.792	30.042	0.0000	0.0000	0.0000	0.0000	nan
3076	-73.708	30.042	0.0000	0.0000	0.0000	0.0000	nan
3077	-73.625	30.042	0.0000	0.0000	0.0000	0.0000	nan
3078	-73.542	30.042	0.0000	0.0000	0.0000	0.0000	nan
3079	-73.458	30.042	0.0000	0.0000	0.0000	0.0000	nan
3080	-73.375	30.042	0.0000	0.0000	0.0000	0.0000	nan
3081	-73.292	30.042	0.0000	0.0000	0.0000	0.0000	nan
3082	-73.208	30.042	0.0000	0.0000	0.0000	0.0000	nan
3083	-73.125	30.042	0.0000	0.0000	0.0000	0.0000	nan
3084	-73.042	30.042	0.0000	0.0000	0.0000	0.0000	nan
3085	-72.958	30.042	0.0000	0.0000	0.0000	0.0000	nan
3086	-72.875	30.042	0.0000	0.0000	0.0000	0.0000	nan
3087	-72.792	30.042	0.0000	0.0000	0.0000	0.0000	nan
3088	-72.708	30.042	0.0000	0.0000	0.0000	0.0000	nan
3089	-72.625	30.042	0.0000	0.0000	0.0000	0.0000	nan
3090	-72.542	30.042	0.0000	0.0000	0.0000	0.0000	nan
3091	-72.458	30.042	0.0000	0.0000	0.0000	0.0000	nan
3092	-72.375	30.042	0.0000	0.0000	0.0000	0.0000	nan
3093	-72.292	30.042	0.0000	0.0000	0.0000	0.0000	nan
3094	-72.208	30.042	0.0000	0.0000	0.0000	0.0000	nan
3095	-72.125	30.042	0.0000	0.0000	0.0000	0.0000	nan
3096	-72.042	30.042	0.0000	0.0000	0.0000	0.0000	nan
3097	-71.958	30.042	0.0000	0.0000	0.0000	0.0000	nan
3098	-71.875	30.042	0.0000	0.0000	0.0000	0.0000	nan
3099	-71.792	30.042	0.0000	0.0000	0.0000	0.0000	nan
3100	-71.708	30.042	0.0000	0.0000	0.0000	0.0000	nan
3101	-71.625	30.042	0.0000	0.0000	0.0000	0.0000	nan
3102	-71.542	30.042	0.0000	0.0000	0.0000	0.0000	nan
3103	-71.458	30.042	0.0000	0.0000	0.0000	0.0000	nan
3104	-71.375	30.042	0.0000	0.0000	0.0000	0.0000	nan
3105	-71.292	30.042	0.0000	0.0000	0.0000	0.0000	nan
3106	-71.208	30.042	0.0000	0.0000	0.0000	0.0000	nan
3107	-71.125	30.042	0.0000	0.0000	0.0000	0.0000	nan
3108	-71.042	30.042	0.0000	0.0000	0.0000	0.0000	nan
3109	-77.958	30.125	0.0000	0.0000	0.0000	0.0000	nan
3110	-77.875	30.125	0.0000	0.0000	0.0000	0.0000	nan
3111	-77.792	30.125	0.0000	0.0000	0.0000	0.0000	nan
3112	-77.708	30.125	0.0000	0.0000	0.0000	0.0000	nan
3113	-77.625	30.125	0.0000	0.0000	0.0000	0.0000	nan
3114	-77.542	30.125	0.0000	0.0000	0.0000	0.0000	nan
3115	-77.458	30.125	0.0000	0.0000	0.0000	0.0000	nan
3116	-77.375	30.125	0.0000	0.0000	0.0000	0.0000	nan
3117	-77.292	30.125	0.0000	0.0000	0.0000	0.0000	nan
3118	-77.208	30.125	0.0000	0.0000	0.0000	0.0000	nan
3119	-77.125	30.125	0.0000	0.0000	0.0000	0.0000	nan
3120	-77.042	30.125	0.0000	0.0000	0.0000	0.0000	nan
3121	-76.958	30.125	0.0000	0.0000	0.0000	0.0000	nan
3122	-76.875	30.125	0.0000	0.0000	0.0000	0.0000	nan
3123	-76.792	30.125	0.0000	0.0000	0.0000	0.0000	nan
3124	-76.708	30.125	0.0000	0.0000	0.0000	0.0000	nan
3125	-76.625	30.125	0.0000	0.0000	0.0000	0.0000	nan
3126	-76.542	30.125	0.0000	0.0000	0.0000	0.0000	nan
3127	-76.458	30.125	0.0000	0.0000	0.0000	0.0000	nan
3128	-76.375	30.125	0.0000	0.0000	0.0000	0.0000	nan
3129	-76.292	30.125	0.0000	0.0000	0.0000	0.0000	nan
3130	-76.208	30.125	0.0000	0.0000	0.0000	0.0000	nan
3131	-76.125	30.125	0.0000	0.0000	0.0000	0.0000	nan
3132	-76.042	30.125	0.0000	0.0000	0.0000	0.0000	nan
3133	-75.958	30.125	0.0000	0.0000	0.0000	0.0000	nan
3134	-75.875	30.125	0.0000	0.0000	0.0000	0.0000	nan
3135	-75.792	30.125	0.0000	0.0000	0.0000	0.0000	nan
3136	-75.708	30.125	0.0000	0.0000	0.0000	0.0000	nan
3137	-75.625	30.125	0.0000	0.0000	0.0000	0.0000	nan
3138	-75.542	30.125	0.0000	0.0000	0.0000	0.0000	nan
3139	-75.458	30.125	0.0000	0.0000	0.0000	0.0000	nan
3140	-75.375	30.125	0.0000	0.0000	0.0000	0.0000	nan
3141	-75.292	30.125	0.0000	0.0000	0.0000	0.0000	nan
3142	-75.208	30.125	0.0000	0.0000	0.0000	0.0000	nan
3143	-75.125	30.125	0.0000	0.0000	0.0000	0.0000	nan
3144	-75.042	30.125	0.0000	0.0000	0.0000	0.0000	nan
3145	-74.958	30.125	0.0000	0.0000	0.0000	0.0000	nan
3146	-74.875	30.125	0.0000	0.0000	0.0000	0.0000	nan
3147	-74.792	30.125	0.0000	0.0000	0.0000	0.0000	nan
3148	-74.708	30.125	0.0000	0.0000	0.0000	0.0000	nan
3149	-74.625	30.125	0.0000	0.0000	0.0000	0.0000	nan
3150	-74.542	30.125	0.0000	0.0000	0.0000	0.0000	nan
3151	-74.458	30.125	0.0000	0.0000	0.0000	0.0000	nan
3152	-74.375	30.125	0.0000	0.0000	0.0000	0.0000	nan
